item	total	count part-1	specif part-1	count part-2	specif part-2	count part-3	specif part-3	count part-4	specif part-4	count part-5	specif part-5	count part-6	specif part-6	count part-7	specif part-7	count part-8	specif part-8	count part-9	specif part-9	count part-10	specif part-10	count part-11	specif part-11	count part-12	specif part-12	count part-13	specif part-13	count part-14	specif part-14	count part-15	specif part-15	count part-16	specif part-16	count part-17	specif part-17	count part-18	specif part-18	count part-19	specif part-19	count part-20	specif part-20	count part-21	specif part-21	count part-22	specif part-22	count part-23	specif part-23	count part-24	specif part-24	count part-25	specif part-25	count part-26	specif part-26	count part-27	specif part-27	count part-28	specif part-28	count part-29	specif part-29	count part-30	specif part-30	count part-31	specif part-31	count part-32	specif part-32	count part-33	specif part-33	count part-34	specif part-34	count part-35	specif part-35	count part-36	specif part-36	count part-37	specif part-37	count part-38	specif part-38	count part-39	specif part-39	count part-40	specif part-40	count part-41	specif part-41	count part-42	specif part-42	count part-43	specif part-43	count part-44	specif part-44	count part-45	specif part-45	count part-46	specif part-46	count part-47	specif part-47	count part-48	specif part-48	count part-49	specif part-49	count part-50	specif part-50
	16256		81		438		205		168		618		301		67		40		164		706		928		276		983		343		238		309		741		24		459		31		18		166		310		293		128		226		291		105		178		126		617		302		100		205		2734		276		693		177		192		426		168		66		180		87		235		100		89		389		146		113
сердца	1057	6	0.80	23	-1.33	15	1.02	18	1.91	35	-1.32	22	1.12	7	1.12	4	0.84	5	-1.61	23	-4.40	115	11.32	5	-3.77	27	-7.66	9	-3.26	17	1.03	11	-2.06	35	-2.11	0	-0.70	13	-3.78	0	-0.91	0	-0.53	8	-1.03	35	3.30	28	1.97	7	-0.86	15	0.97	30	2.43	3	-1.27	11	0.91	6	-0.93	34	-1.38	14	-1.38	5	-0.83	6	-1.96	257	10.50	24	1.51	10	-10.27	0	-5.20	6	-1.75	33	1.36	16	1.47	7	1.14	18	1.69	8	1.04	17	1.04	6	0.79	11	1.78	32	1.52	10	0.89	10	1.08
сердце	719	3	0.66	14	-1.35	9	0.87	2	-1.83	33	1.40	11	-1.01	3	0.64	0	-0.79	11	1.29	51	3.76	20	-4.19	27	4.22	48	1.33	18	1.13	12	0.97	24	2.56	37	1.29	1	0.43	40	4.72	0	-0.61	2	0.84	13	1.76	14	0.96	4	-2.64	12	2.16	9	-0.89	14	0.98	7	1.05	7	0.84	7	0.89	33	1.40	15	1.02	6	0.90	15	1.72	18	-35.52	10	-0.99	53	4.46	22	5.08	12	1.22	19	1.02	5	-0.95	1	-0.81	4	-1.25	0	-1.71	7	-1.11	8	1.37	5	0.80	19	1.07	9	1.07	5	0.74
и	574	3	0.64	14	-1.00	9	0.96	6	0.78	20	-1.07	10	0.90	2	0.57	2	0.60	4	-0.84	23	-1.10	24	-1.69	6	-1.17	34	1.15	15	1.12	4	-1.35	7	-1.19	18	-1.69	0	0.37	6	-2.73	2	0.69	0	0.28	5	0.78	14	1.14	16	1.60	3	-0.77	4	-1.25	9	-0.91	3	0.67	9	1.10	5	0.76	20	-1.07	3	-2.39	6	1.10	12	1.52	175	16.14	5	-1.39	5	-6.03	0	-2.78	3	-1.25	11	-1.19	7	0.86	2	0.57	3	-1.14	1	-0.86	7	-0.87	1	-1.00	4	0.75	19	1.44	6	0.81	7	1.23
в	416	0	-0.91	13	1.01	7	0.94	5	0.77	19	1.16	9	0.92	0	-0.76	0	-0.45	1	-1.22	20	1.08	20	-1.18	2	-1.70	28	1.18	13	1.35	8	0.97	10	1.01	32	2.88	0	0.27	8	-1.15	1	0.44	2	1.18	1	-1.23	8	0.85	5	-0.96	3	0.65	4	-0.84	1	-2.41	3	0.65	3	-0.78	3	0.65	19	1.17	10	1.03	1	-0.71	2	-1.15	65	-1.36	8	0.87	12	-1.42	22	9.11	1	-1.47	17	1.67	2	-0.91	0	-0.74	8	1.31	1	-0.62	4	-0.88	3	0.66	3	0.69	4	-1.75	3	0.68	2	0.63
—	175	1	0.43	5	0.75	0	-0.97	1	0.53	3	-1.22	5	0.93	1	0.45	0	0.19	4	1.16	0	-3.39	14	1.29	5	1.00	4	-1.94	7	1.34	0	-1.13	8	1.90	11	1.14	0	0.11	32	16.66	0	0.15	0	0.08	2	0.57	3	0.65	6	1.24	0	-0.60	8	2.63	0	-1.38	1	0.43	2	0.56	1	0.45	3	-1.21	11	3.48	0	-0.47	1	-0.62	29	1.09	3	0.64	0	-3.33	0	-0.84	0	-0.91	0	-2.03	0	-0.79	0	0.31	0	-0.85	1	0.43	1	-0.70	0	-0.47	0	0.42	2	-0.88	0	-0.69	0	-0.53
не	169	0	0.37	2	-0.97	0	-0.94	0	-0.77	5	-0.83	1	-0.87	0	0.30	0	0.18	3	0.82	14	2.06	2	-2.61	4	0.79	14	1.25	3	0.67	0	-1.09	11	3.52	6	-0.88	0	0.11	0	-2.11	0	0.14	0	0.08	2	0.57	1	-0.90	1	-0.85	2	0.63	0	-1.03	2	-0.65	1	0.43	0	-0.81	1	0.45	5	-0.82	6	1.24	0	-0.46	2	0.56	62	9.62	2	0.63	5	-0.92	0	-0.81	0	-0.88	4	0.71	1	0.52	0	0.30	0	-0.82	0	0.40	2	0.58	2	0.72	0	0.41	3	-0.71	0	-0.67	0	-0.51
на	150	3	1.49	6	0.97	1	0.54	0	-0.68	6	0.79	5	1.07	1	0.47	0	0.16	2	0.59	6	0.79	11	1.05	2	0.59	9	0.86	2	-0.67	0	-0.97	1	-0.79	18	3.95	1	0.75	0	-1.87	0	0.12	0	0.07	0	-0.67	0	-1.26	1	-0.75	0	-0.52	1	-0.59	3	0.65	0	0.42	0	-0.72	1	0.44	6	0.79	8	2.30	1	0.43	4	1.10	17	-1.77	2	0.59	17	3.81	0	-0.72	3	0.80	2	-0.82	0	-0.68	1	0.48	0	-0.73	1	0.44	4	0.98	0	0.40	0	0.36	3	0.67	0	-0.59	1	0.43
от	134	0	0.29	3	0.67	0	-0.74	1	0.46	3	-0.87	4	0.88	1	0.49	1	0.62	0	-0.59	1	-1.81	6	-0.87	1	-0.63	4	-1.29	4	0.80	1	0.56	2	0.59	0	-2.73	0	0.09	1	-1.08	0	0.11	0	0.06	0	-0.60	1	-0.71	4	0.89	1	0.43	3	0.77	1	-0.66	1	0.43	2	0.60	0	-0.45	3	-0.87	0	-1.10	0	0.36	2	0.57	65	16.86	0	-1.00	8	1.03	0	-0.64	0	-0.69	4	0.72	1	0.46	1	0.50	2	0.60	1	0.45	0	-0.85	0	0.36	0	0.32	0	-1.42	0	-0.53	1	0.43
что	126	0	0.27	4	0.72	0	-0.70	2	0.63	1	-1.43	5	1.26	0	0.23	0	0.14	1	0.45	7	0.90	1	-2.34	3	0.71	19	3.87	3	0.65	0	-0.81	4	0.90	7	0.87	1	0.81	6	1.10	1	0.72	0	0.06	0	-0.56	0	-1.06	0	-1.00	0	-0.43	2	0.57	0	-0.99	0	0.36	1	0.46	3	1.24	1	-1.43	3	0.68	0	0.34	1	0.49	24	1.14	6	1.83	9	1.33	0	-0.60	0	-0.65	3	0.65	1	0.45	0	0.22	0	-0.61	0	0.29	3	0.78	0	0.34	0	0.30	3	0.64	0	-0.50	1	0.43
с	103	2	1.10	2	0.62	0	-0.57	0	-0.47	1	-1.13	0	-0.84	2	1.23	0	0.11	0	-0.46	4	0.71	3	-1.04	3	0.81	14	2.64	5	1.35	0	-0.66	1	0.56	6	0.86	1	0.88	0	-1.29	0	0.09	0	0.05	0	-0.46	2	0.56	5	1.56	0	0.35	0	-0.63	0	-0.81	0	0.29	0	-0.49	0	0.35	1	-1.12	1	0.55	0	0.28	2	0.63	11	-1.58	4	1.17	10	2.10	0	-0.49	3	1.05	5	1.10	0	-0.47	0	0.18	2	0.68	2	1.06	5	1.88	3	1.66	0	0.25	2	0.58	0	0.40	1	0.45
сердцем	99	0	0.22	2	0.60	0	-0.55	0	-0.45	2	-0.79	3	0.78	2	1.26	0	0.11	6	3.36	12	3.07	1	-1.75	5	1.70	16	3.71	5	1.40	1	0.47	1	0.54	5	0.75	2	2.05	2	0.62	3	3.08	0	0.05	0	-0.44	0	-0.83	0	-0.78	1	0.44	1	0.46	0	-0.78	0	0.28	1	0.43	1	0.44	2	-0.79	1	0.53	0	0.27	8	4.50	2	-5.64	1	0.50	7	1.16	0	-0.47	1	0.44	2	0.60	0	-0.45	0	0.18	0	-0.48	0	0.23	3	0.93	0	0.27	0	0.24	0	-1.04	0	0.39	0	0.30
к	97	0	0.21	3	0.65	2	0.65	0	-0.44	3	0.67	0	-0.79	0	0.17	0	0.10	0	0.43	2	-0.89	5	0.76	2	0.58	12	2.08	3	0.73	3	0.94	2	0.56	3	-0.76	0	0.06	6	1.43	0	0.08	0	0.05	0	-0.43	1	0.54	1	0.52	0	0.33	3	0.97	0	-0.76	1	0.47	2	0.71	1	0.45	3	0.67	4	1.14	0	0.26	1	0.44	15	-0.98	4	1.23	4	0.70	0	-0.46	0	-0.50	1	-0.70	2	0.73	0	0.17	3	1.15	0	0.23	0	-0.62	0	0.26	0	0.23	2	0.57	2	0.80	1	0.46
из	86	2	1.23	2	0.57	2	0.70	3	1.32	4	0.73	0	-0.70	0	0.15	0	0.09	1	0.43	7	1.33	4	0.74	0	-0.64	1	-1.59	1	0.53	5	2.16	1	0.49	8	1.59	0	0.06	0	-1.07	0	0.07	0	0.04	0	0.38	1	0.50	3	0.88	0	0.30	1	0.44	3	0.88	0	0.24	0	0.41	1	0.46	4	0.73	0	-0.70	0	0.23	2	0.70	17	1.08	1	0.47	1	-1.05	0	0.41	2	0.72	4	0.94	2	0.79	0	0.15	1	0.43	0	0.20	0	-0.55	0	0.23	0	0.21	1	-0.58	0	0.34	1	0.48
как	85	0	0.18	5	1.28	1	0.43	1	0.43	3	0.64	2	0.58	0	0.15	0	0.09	1	0.44	3	0.67	2	-1.05	0	-0.63	7	0.95	4	1.15	0	-0.55	1	0.49	5	0.81	0	0.05	0	-1.06	0	0.07	0	0.04	0	0.38	3	0.85	0	-0.67	0	0.29	0	-0.52	1	0.48	0	0.24	0	0.41	1	0.46	3	0.64	2	0.58	0	0.23	1	0.43	18	1.21	1	0.46	3	0.67	0	0.41	1	0.43	2	0.57	0	0.38	1	0.61	0	0.41	1	0.54	3	1.04	0	0.23	1	0.53	8	3.11	0	0.33	0	0.26
–	78	0	0.17	1	-0.59	2	0.74	3	1.42	8	2.17	0	-0.63	0	0.14	1	0.80	0	0.34	24	13.97	0	-2.00	0	-0.58	8	1.27	0	-0.72	2	0.68	0	-0.65	0	-1.58	0	0.05	2	0.57	0	0.06	0	0.04	1	0.44	0	-0.65	2	0.61	0	0.27	0	-0.48	5	1.99	1	0.51	0	0.37	0	0.26	8	2.18	0	-0.64	0	0.21	0	-0.43	0	-6.25	0	-0.58	1	-0.94	0	0.37	3	1.29	0	-0.90	3	1.42	0	0.14	1	0.43	0	0.18	0	-0.49	1	0.52	0	0.19	0	-0.82	1	0.45	0	0.24
его	73	0	0.16	1	0.56	0	0.40	0	0.33	2	0.62	3	0.97	0	0.13	0	0.08	0	0.32	1	-0.89	3	-0.72	0	-0.54	8	1.38	0	-0.68	1	0.43	3	0.95	7	1.52	0	0.05	0	-0.91	1	0.91	0	0.04	0	0.33	2	0.61	8	4.37	0	0.25	0	-0.44	1	0.45	2	1.16	0	0.35	0	0.25	2	0.61	1	0.45	0	0.20	0	0.40	21	2.39	0	-0.54	0	-1.38	0	0.35	0	0.38	2	0.56	0	0.33	0	0.13	1	0.44	2	1.29	0	-0.46	0	0.20	0	0.17	0	-0.77	1	0.46	0	0.22
человека	69	0	0.15	3	0.77	0	0.38	0	0.31	12	5.08	0	-0.56	1	0.67	0	0.07	0	0.30	5	0.99	1	-1.14	0	-0.51	2	-0.88	0	-0.64	0	-0.44	0	-0.58	4	0.74	0	0.04	4	1.07	0	0.06	0	0.03	0	0.31	4	1.49	0	-0.55	1	0.50	0	0.42	0	-0.54	2	1.20	0	0.33	1	0.50	12	5.09	0	-0.56	0	0.19	1	0.43	7	-1.35	0	-0.51	0	-1.31	0	0.33	1	0.44	4	1.14	0	0.31	0	0.12	1	0.44	0	0.16	0	-0.44	0	0.19	1	0.58	0	-0.73	1	0.47	1	0.52
сердцу	69	0	0.15	6	2.09	1	0.43	0	0.31	4	0.84	0	-0.56	0	0.12	0	0.07	1	0.46	3	0.64	2	-0.83	2	0.67	10	2.26	3	0.92	0	-0.44	1	0.45	0	-1.40	0	0.04	3	0.75	0	0.06	0	0.03	1	0.45	0	-0.58	1	0.44	0	0.24	1	0.43	0	-0.54	0	0.19	2	0.87	1	0.50	4	0.84	0	-0.56	0	0.19	1	0.43	2	-3.54	1	0.44	6	1.34	0	0.33	3	1.41	1	0.53	1	0.45	0	0.12	2	0.86	1	0.59	1	0.43	0	0.19	0	0.16	3	0.84	1	0.47	0	0.21
о	68	0	0.15	0	-0.81	0	0.38	0	0.31	1	-0.72	0	-0.55	0	0.12	1	0.85	0	0.30	8	2.19	0	-1.74	2	0.67	6	0.95	3	0.93	0	-0.44	0	-0.57	4	0.75	0	0.04	5	1.51	0	0.06	0	0.03	1	0.46	2	0.63	3	1.05	8	7.25	0	0.41	1	0.44	3	2.06	0	0.33	1	0.50	1	-0.71	3	1.02	1	0.56	1	0.43	3	-2.83	0	-0.51	0	-1.29	0	0.32	3	1.42	1	0.52	3	1.55	0	0.12	0	0.33	0	0.16	1	0.43	0	0.18	0	0.16	0	-0.72	2	0.99	0	0.21
по	66	0	0.14	6	2.18	4	2.09	2	0.93	1	-0.70	1	0.44	1	0.68	0	0.07	0	0.29	1	-0.80	3	0.68	1	0.43	2	-0.84	1	0.46	1	0.43	1	0.44	2	-0.65	0	0.04	0	-0.82	0	0.05	0	0.03	2	0.94	2	0.64	1	0.44	2	1.10	2	0.77	0	-0.52	1	0.55	1	0.45	0	0.22	1	-0.69	1	0.44	0	0.18	2	0.82	16	1.46	0	-0.49	3	0.64	0	0.31	0	0.34	1	0.51	2	0.93	0	0.12	1	0.45	1	0.60	0	0.42	0	0.18	0	0.16	0	-0.70	0	0.26	0	0.20
В	64	0	0.14	1	0.51	1	0.44	1	0.46	1	-0.67	0	-0.52	1	0.69	0	0.07	0	0.28	5	1.07	5	0.84	0	-0.48	2	-0.81	3	0.97	0	0.41	1	0.44	7	1.75	0	0.04	0	-0.80	0	0.05	0	0.03	2	0.95	2	0.65	0	-0.51	2	1.12	7	4.58	0	-0.50	0	0.18	0	0.31	0	0.22	1	-0.67	1	0.44	2	1.29	0	0.35	2	-3.21	1	0.43	1	-0.76	4	2.34	0	0.33	3	0.83	1	0.46	1	0.70	4	2.32	0	0.15	0	0.41	1	0.57	0	0.15	0	-0.67	1	0.49	0	0.19
их	63	0	0.14	1	0.51	0	0.35	0	0.28	2	0.58	1	0.44	0	0.11	0	0.07	0	0.28	4	0.81	1	-1.03	2	0.70	3	0.68	0	-0.58	0	0.40	0	-0.53	1	-0.80	0	0.04	0	-0.79	0	0.05	0	0.03	0	0.28	0	-0.53	1	0.43	0	0.22	0	0.38	0	-0.50	0	0.18	0	0.30	0	0.21	2	0.58	0	-0.51	0	0.17	1	0.44	38	14.10	0	-0.47	3	0.65	0	0.30	0	0.33	0	-0.73	0	0.28	1	0.70	0	0.31	0	0.15	1	0.43	0	0.17	0	0.15	0	-0.66	1	0.49	0	0.19
‘	63	0	0.14	0	-0.75	0	0.35	0	0.28	0	-1.06	0	-0.51	0	0.11	0	0.07	0	0.28	0	-1.22	0	-1.61	0	-0.47	0	-1.71	0	-0.58	0	0.40	0	-0.53	0	-1.28	0	0.04	0	-0.79	0	0.05	0	0.03	0	0.28	0	-0.53	0	-0.50	0	0.22	0	0.38	0	-0.50	0	0.18	0	0.30	0	0.21	0	-1.06	0	-0.51	0	0.17	0	0.35	0	-5.05	0	-0.47	63	87.54	0	0.30	0	0.33	0	-0.73	0	0.28	0	0.11	0	0.31	0	0.15	0	0.40	0	0.17	0	0.15	0	-0.66	0	0.25	0	0.19
у	62	0	0.13	1	0.50	0	0.34	0	0.28	6	1.68	2	0.67	0	0.11	0	0.07	0	0.27	0	-1.20	2	-0.74	0	-0.46	4	0.70	0	-0.58	3	1.30	4	1.62	2	0.62	0	0.04	0	-0.77	0	0.05	0	0.03	1	0.47	1	0.44	5	2.37	0	0.21	3	1.35	0	-0.49	0	0.17	1	0.46	0	0.21	6	1.68	4	1.65	1	0.58	0	0.34	9	-0.90	0	-0.46	5	1.12	0	0.30	0	0.32	1	0.49	0	0.28	0	0.11	0	0.30	0	0.14	0	0.39	0	0.17	0	0.15	0	-0.65	0	0.24	1	0.55
для	62	0	0.13	4	1.22	0	0.34	0	0.28	0	-1.05	0	-0.50	3	2.70	1	0.88	0	0.27	1	-0.75	0	-1.59	1	0.43	2	-0.79	1	0.45	1	0.43	0	-0.52	4	0.79	0	0.04	0	-0.77	0	0.05	0	0.03	0	0.28	0	-0.52	4	1.69	0	0.21	0	0.38	0	-0.49	0	0.17	0	0.30	0	0.21	0	-1.04	1	0.43	2	1.31	0	0.34	11	0.89	1	0.43	0	-1.18	0	0.30	0	0.32	1	0.49	0	0.28	1	0.71	0	0.30	1	0.62	2	0.78	1	0.58	0	0.15	18	14.52	1	0.49	0	0.19
’	60	0	0.13	0	-0.71	0	0.33	0	0.27	0	-1.01	0	-0.49	0	0.11	0	0.06	0	0.26	0	-1.16	0	-1.53	0	-0.45	0	-1.63	0	-0.56	0	0.39	0	-0.50	0	-1.22	0	0.04	0	-0.75	0	0.05	0	0.03	0	0.27	0	-0.50	0	-0.47	0	0.21	0	0.37	0	-0.47	0	0.17	0	0.29	0	0.20	0	-1.01	0	-0.49	0	0.16	0	0.33	0	-4.81	0	-0.45	60	83.31	0	0.29	0	0.31	0	-0.69	0	0.27	0	0.11	0	0.29	0	0.14	0	0.38	0	0.16	0	0.14	0	-0.63	0	0.24	0	0.18
а	55	0	0.12	1	0.47	0	0.30	0	0.25	2	0.56	2	0.72	0	0.10	1	0.93	1	0.49	2	0.57	3	0.64	1	0.43	0	-1.49	1	0.43	0	0.35	2	0.71	9	3.21	0	0.04	1	0.48	0	0.05	0	0.03	2	1.05	0	-0.46	0	-0.44	0	0.19	0	0.33	1	0.43	0	0.16	0	0.26	0	0.19	2	0.56	2	0.72	0	0.15	1	0.46	13	1.26	1	0.43	0	-1.04	0	0.26	0	0.28	1	0.46	1	0.49	0	0.10	1	0.48	0	0.13	1	0.44	0	0.15	0	0.13	2	0.63	0	0.22	1	0.58
это	53	0	0.12	3	0.93	4	2.41	0	0.24	2	0.56	2	0.74	0	0.10	0	0.06	2	1.08	1	-0.64	3	0.64	0	0.39	5	0.93	1	0.43	0	0.34	2	0.73	2	0.58	0	0.03	0	-0.66	0	0.04	0	0.03	1	0.50	0	-0.44	4	1.90	0	0.18	0	0.32	1	0.43	0	0.15	0	0.25	1	0.56	2	0.56	4	1.86	0	0.14	0	0.29	5	-1.25	1	0.43	0	-1.00	0	0.25	0	0.27	0	-0.61	0	0.24	0	0.09	4	2.60	0	0.12	1	0.44	0	0.14	0	0.13	0	-0.56	2	1.15	0	0.16
Как	52	0	0.11	1	0.46	2	0.95	0	0.23	5	1.48	1	0.43	2	1.74	0	0.06	1	0.50	2	0.57	0	-1.33	0	0.39	6	1.25	0	-0.48	0	0.33	0	-0.43	0	-1.06	0	0.03	0	-0.65	0	0.04	0	0.03	1	0.50	1	0.43	2	0.76	0	0.18	2	0.89	4	1.94	0	0.15	0	0.25	1	0.57	5	1.48	0	0.42	3	2.43	0	0.29	0	-4.17	3	1.33	0	-0.99	0	0.25	0	0.27	1	0.45	0	0.23	0	0.09	0	0.25	0	0.12	0	0.33	0	0.14	1	0.67	7	3.71	1	0.53	0	0.16
либо	52	0	0.11	0	-0.62	0	0.29	0	0.23	0	-0.88	0	0.42	0	0.09	0	0.06	0	0.23	1	-0.63	0	-1.33	0	0.39	0	-1.41	0	-0.48	0	0.33	0	-0.43	0	-1.06	0	0.03	0	-0.65	0	0.04	0	0.03	0	0.23	0	-0.44	0	0.41	0	0.18	0	0.32	0	0.41	0	0.15	1	0.49	0	0.18	0	-0.88	0	0.42	0	0.14	0	0.29	0	-4.17	0	0.39	50	66.18	0	0.25	0	0.27	0	-0.60	0	0.23	0	0.09	0	0.25	0	0.12	0	0.33	0	0.14	0	0.12	0	-0.55	0	0.20	0	0.16
или	47	2	1.67	1	0.44	0	0.26	0	0.21	2	0.56	0	0.38	0	0.08	0	0.05	0	0.21	12	6.33	0	-1.20	0	0.35	3	0.64	0	-0.44	1	0.46	0	0.39	5	1.37	2	2.67	1	0.45	0	0.04	0	0.02	0	0.21	1	0.43	2	0.81	0	0.16	0	0.29	0	0.37	0	0.13	3	1.89	0	0.16	2	0.56	2	0.79	0	0.13	1	0.48	1	-2.79	1	0.44	1	-0.57	0	0.22	0	0.24	0	-0.54	1	0.52	1	0.80	1	0.51	0	0.11	1	0.46	0	0.13	0	0.11	0	-0.50	0	0.18	0	0.14
своего	44	0	0.10	0	-0.52	0	0.24	0	0.20	0	-0.74	0	0.36	0	0.08	0	0.05	0	0.19	2	0.56	0	-1.12	1	0.45	4	0.82	0	0.41	0	0.28	1	0.44	0	-0.89	0	0.03	0	-0.55	0	0.04	0	0.02	0	0.20	0	0.37	0	0.35	0	0.15	0	0.27	0	0.35	0	0.12	0	0.21	0	0.15	0	-0.74	0	0.36	0	0.12	0	0.24	35	19.04	1	0.45	0	-0.83	0	0.21	0	0.23	0	-0.51	0	0.20	0	0.08	0	0.21	0	0.10	0	0.28	0	0.12	0	0.11	0	-0.46	0	0.17	0	0.13
за	39	2	1.82	0	-0.46	0	0.22	0	0.18	3	0.90	2	0.90	0	0.07	0	0.04	0	0.17	0	-0.75	0	-1.00	2	0.95	0	-1.06	2	0.82	1	0.49	0	0.33	3	0.79	0	0.03	0	-0.49	0	0.03	0	0.02	1	0.57	0	0.33	0	0.31	1	0.64	0	0.24	1	0.45	1	0.70	0	0.19	1	0.65	3	0.91	2	0.89	0	0.10	0	0.22	5	-0.83	0	0.29	3	0.83	0	0.19	4	2.99	1	0.43	0	0.18	0	0.07	0	0.19	0	0.09	0	0.25	0	0.10	0	0.09	1	0.43	0	0.15	0	0.12
твоего	38	0	0.08	0	-0.45	0	0.21	0	0.17	0	-0.64	0	0.31	0	0.07	0	0.04	0	0.17	0	-0.73	0	-0.97	1	0.46	0	-1.03	0	0.35	0	0.24	0	0.32	0	-0.77	0	0.02	0	-0.47	0	0.03	0	0.02	0	0.17	0	0.32	0	0.30	0	0.13	0	0.23	0	0.30	0	0.11	0	0.18	0	0.13	0	-0.64	0	0.31	0	0.10	5	3.99	32	18.87	0	0.28	0	-0.72	0	0.18	0	0.20	0	-0.44	0	0.17	0	0.07	0	0.18	0	0.09	0	0.24	0	0.10	0	0.09	0	0.40	0	0.15	0	0.12
всего	37	1	0.81	1	0.43	0	0.20	0	0.17	1	0.46	0	0.30	0	0.07	0	0.04	0	0.16	3	0.85	0	-0.95	1	0.47	0	-1.00	0	0.34	0	0.24	1	0.45	0	-0.75	0	0.02	1	0.43	0	0.03	0	0.02	0	0.17	0	0.31	1	0.46	0	0.13	0	0.23	0	0.29	0	0.10	0	0.18	0	0.13	1	0.46	0	0.30	0	0.10	3	2.00	20	6.66	0	0.28	1	0.48	0	0.18	1	0.54	0	0.43	0	0.17	0	0.07	0	0.18	0	0.09	0	0.23	0	0.10	0	0.09	0	0.39	0	0.15	1	0.70
чтобы	36	0	0.08	1	0.43	1	0.54	0	0.16	0	-0.61	0	0.29	0	0.06	0	0.04	0	0.16	0	-0.69	0	-0.92	0	0.27	4	0.97	0	0.33	0	0.23	0	0.30	0	-0.73	0	0.02	0	-0.45	0	0.03	0	0.02	0	0.16	0	0.30	0	0.28	0	0.12	0	0.22	1	0.46	0	0.10	0	0.17	0	0.12	0	-0.61	0	0.29	0	0.10	1	0.54	27	13.69	0	0.27	0	-0.68	0	0.17	1	0.55	0	0.42	0	0.16	0	0.06	0	0.17	0	0.08	0	0.23	0	0.10	0	0.09	0	0.38	0	0.14	0	0.11
может	34	0	0.07	0	0.40	0	0.19	0	0.15	4	1.52	0	0.28	0	0.06	0	0.04	0	0.15	2	0.59	0	-0.87	0	0.25	4	1.02	1	0.45	0	0.22	3	1.65	0	-0.69	0	0.02	2	0.75	0	0.03	0	0.02	0	0.15	3	1.64	0	0.27	0	0.12	0	0.21	0	0.27	0	0.10	0	0.16	1	0.69	4	1.52	1	0.47	0	0.09	0	0.19	0	-2.72	1	0.48	0	-0.64	0	0.16	1	0.57	1	0.43	2	1.37	2	2.10	0	0.16	0	0.08	2	1.13	0	0.09	0	0.08	0	0.36	0	0.13	0	0.10
мы	33	0	0.07	1	0.43	0	0.18	0	0.15	0	-0.56	0	0.27	0	0.06	0	0.04	2	1.41	0	-0.64	0	-0.84	1	0.49	16	10.93	3	1.57	0	0.21	0	0.28	2	0.59	2	2.98	0	0.41	0	0.03	0	0.02	0	0.15	0	0.28	0	0.26	0	0.11	2	1.18	1	0.48	0	0.09	0	0.16	0	0.11	0	-0.56	0	0.27	0	0.09	0	0.18	3	-0.99	0	0.25	0	-0.63	0	0.16	0	0.17	0	0.38	0	0.15	0	0.06	0	0.16	0	0.08	0	0.21	0	0.09	0	0.08	0	0.35	0	0.13	0	0.10
кровь	33	0	0.07	2	0.78	3	2.13	2	1.39	0	-0.56	0	0.27	0	0.06	0	0.04	0	0.15	0	-0.64	0	-0.84	0	0.25	0	-0.89	0	0.31	5	3.99	0	0.28	1	0.47	0	0.02	0	0.41	0	0.03	0	0.02	1	0.61	1	0.47	2	1.01	0	0.11	7	6.56	0	0.26	0	0.09	2	1.35	0	0.11	0	-0.56	0	0.27	1	0.78	0	0.18	1	-1.82	1	0.49	0	-0.63	0	0.16	0	0.17	1	0.43	0	0.15	0	0.06	3	2.28	0	0.08	0	0.21	0	0.09	0	0.08	0	0.35	0	0.13	0	0.10
то	33	0	0.07	0	0.39	0	0.18	0	0.15	0	-0.56	2	0.99	0	0.06	0	0.04	0	0.15	3	0.93	4	1.10	2	1.05	2	0.55	1	0.45	0	0.21	0	0.28	0	-0.67	0	0.02	0	0.41	0	0.03	0	0.02	0	0.15	0	0.28	0	0.26	1	0.69	0	0.20	0	0.26	1	0.76	0	0.16	0	0.11	0	-0.56	1	0.47	0	0.09	0	0.18	6	0.76	1	0.49	1	0.46	0	0.16	0	0.17	2	0.80	1	0.61	0	0.06	0	0.16	0	0.08	0	0.21	0	0.09	3	3.13	1	0.44	0	0.13	1	0.74
есть	32	0	0.07	2	0.80	0	0.18	0	0.14	0	-0.54	0	0.26	2	2.13	0	0.03	1	0.63	2	0.61	3	0.77	1	0.49	7	2.68	1	0.46	1	0.53	1	0.47	1	0.46	0	0.02	0	0.40	0	0.03	0	0.02	1	0.62	0	0.27	0	0.25	1	0.70	3	2.06	0	0.25	0	0.09	0	0.15	0	0.11	0	-0.54	3	1.74	0	0.09	0	0.18	1	-1.75	0	0.24	0	-0.61	0	0.15	0	0.17	0	0.37	1	0.62	0	0.06	0	0.15	0	0.07	0	0.20	0	0.09	0	0.08	0	0.34	0	0.13	0	0.10
самом	32	0	0.07	1	0.43	0	0.18	0	0.14	1	0.44	0	0.26	0	0.06	0	0.03	0	0.14	0	-0.62	0	-0.82	0	0.24	1	0.55	0	0.30	0	0.21	1	0.47	0	-0.65	1	1.34	0	0.40	0	0.03	0	0.02	1	0.62	0	0.27	0	0.25	0	0.11	0	0.19	0	0.25	0	0.09	0	0.15	0	0.11	1	0.44	2	1.01	0	0.09	0	0.18	0	-2.56	0	0.24	0	-0.61	22	36.00	0	0.17	0	0.37	0	0.14	0	0.06	1	0.60	0	0.07	0	0.20	0	0.09	0	0.08	0	0.34	0	0.13	0	0.10
